age,income,gender,education,political_preferences,energy_consumption_kWh
59,37774,male,university education, Pirati,3748.19
26,31381,male,university education, STAN,4296.52
58,47562,male,secondary education with maturity diploma, TOP09,4061.4
56,41105,female,no education,,3021.09
76,67165,female,secondary education without maturity diploma,Hnuti Ano,4015
49,30797,female,university education,Hnuti Ano,752.57
38,32139,male,secondary education without maturity diploma,,4296.52
83,69872,female,secondary education with maturity diploma,Hnuti Ano,2957.18
19,40814,female,elementary education, ��,2953.95
16,4339,female,elementary education,,
1,,female,,,
33,26408,male,secondary education without maturity diploma,,611.48
70,27135,female,secondary education with maturity diploma,Hnuti Ano,1589.13
64,36161,female,secondary education with maturity diploma, Pirati,1486.15
67,52154,male,secondary education without maturity diploma, ODS,4314.84
47,32139,female,secondary education without maturity diploma,,3765.2
46,29394,female,elementary education,,2176.31
62,37142,male,university education, Pirati,2750.7
61,49542,male,secondary education with maturity diploma, SPD,2712.67
55,77172,female,university education,,4867.88
31,60993,female,university education, STAN,2870.86
33,59591,female,university education,,2564.33
9,,male,,,
29,56828,female,secondary education with maturity diploma, ODS,4544.56
69,42045,female,secondary education without maturity diploma, SPD,602.76
5,,male,,,
39,55789,male,university education, SPD,6698.46
55,67165,female,secondary education without maturity diploma, KSCM,4015
80,47150,female,elementary education,,2586.17
0,,male,,,
52,36109,male,secondary education without maturity diploma, STAN,2750.7
69,32139,female,elementary education, P���,7434.32
45,57109,male,university education, ODS,6443.93
42,22133,male,secondary education without maturity diploma, TOP09,604.78
5,,female,,,
8,,male,,,
4,,female,,,
17,8330,male,elementary education,,
87,67165,female,secondary education without maturity diploma, SPD,5269.22
25,51520,female,secondary education with maturity diploma,,5841.73
57,34768,male,university education,Hnuti Ano,5794.27
18,,male,elementary education,,
75,37142,male,secondary education with maturity diploma, KSCM,4296.52
50,40383,female,secondary education without maturity diploma, Pirati,1684.78
57,59077,male,secondary education without maturity diploma,,5183.31
28,62290,female,university education,,2050.96
71,32139,female,secondary education with maturity diploma,,1810.43
64,46288,male,university education, SPD,4061.4
43,41474,male,secondary education without maturity diploma,,4061.4
47,41600,male,secondary education with maturity diploma,,5723.02
48,52534,male,secondary education without maturity diploma, Pirati,2850.8
34,58112,male,university education,,6698.46
27,33957,female,secondary education without maturity diploma,,1557.85
4,,male,,,
17,,female,elementary education,,
33,36768,female,secondary education without maturity diploma,,7434.32
5,,female,,,
94,47150,female,secondary education without maturity diploma, STAN,3147.39
47,34450,female,secondary education with maturity diploma,,1486.15
68,32139,female,secondary education without maturity diploma,,1810.43
39,29012,female,university education,Hnuti Ano,2687.32
75,42146,male,secondary education without maturity diploma,Hnuti Ano,4656.32
80,27135,female,no education,,3451.84
23,51033,female,university education, KDU-CSL,2973.95
69,108685,female,secondary education without maturity diploma,Hnuti Ano,2758.3
69,52154,male,university education,Hnuti Ano,2850.8
5,,male,,,
68,27135,female,secondary education without maturity diploma,,363.23
36,44406,male,university education, TOP09,6989.73
3,,male,,,
43,41642,male,university education,,3840.78
69,27135,female,elementary education, KSCM,363.23
34,27135,male,elementary education,,381.97
70,42146,male,secondary education without maturity diploma, SPD,4061.4
21,51920,male,secondary education without maturity diploma,,2396.27
10,,male,,,
37,41163,male,secondary education with maturity diploma,Hnuti Ano,5472.48
25,53409,male,secondary education with maturity diploma,,2850.8
26,32524,female,secondary education with maturity diploma, TOP09,2016.92
40,32139,female,secondary education with maturity diploma,Hnuti Ano,752.57
38,35526,female,university education,,1486.15
47,43048,female,secondary education without maturity diploma,,8051.19
14,,female,,,
70,32139,male,secondary education without maturity diploma,Hnuti Ano,4296.52
8,,male,,,
9,,female,,,
7,,male,,,
45,52038,male,secondary education without maturity diploma, ODS,5284.59
12,,female,,,
65,27135,female,secondary education without maturity diploma, STAN,474.06
49,47150,female,secondary education with maturity diploma,,6612.4
15,8076,female,elementary education,,
80,52154,male,university education,Hnuti Ano,4544.56
60,33882,female,university education, ODS,7434.32
10,,male,,,
56,41065,female,secondary education with maturity diploma, ODS,602.76
12,,male,,,
7,,female,,,
28,41514,female,university education,,7397.44
46,34595,male,secondary education without maturity diploma, SPD,4190.51
14,,male,,,
0,,male,,,
9,,male,,,
11,,female,,,
35,53876,male,secondary education with maturity diploma,,4314.84
37,38179,male,secondary education without maturity diploma,Hnuti Ano,2999.7
51,42713,male,secondary education without maturity diploma, Pirati,3488.71
37,55419,male,elementary education, TOP09,2661.48
36,36428,female,secondary education with maturity diploma, Pirati,2016.92
50,30003,female,secondary education without maturity diploma,,3765.2
72,40027,female,secondary education with maturity diploma,Hnuti Ano,6612.4
50,,female,secondary education without maturity diploma,,
75,52154,female,secondary education without maturity diploma,Hnuti Ano,5841.73
47,38072,male,secondary education with maturity diploma,Hnuti Ano,1291.23
44,60404,female,secondary education with maturity diploma, ODS,7926.96
57,47378,male,secondary education without maturity diploma,,5723.02
6,,female,,,
35,49903,male,secondary education with maturity diploma, P���,7144.08
55,35410,male,secondary education without maturity diploma,Hnuti Ano,4296.52
6,,female,,,
39,37677,male,secondary education with maturity diploma, STAN,5794.27
4,,female,,,
74,32139,female,secondary education with maturity diploma,Hnuti Ano,2016.92
72,42146,male,secondary education with maturity diploma, KSCM,4656.32
2,,male,,,
70,71874,female,secondary education with maturity diploma,Hnuti Ano,4666.41
16,5141,male,elementary education,,
11,,male,,,
20,42146,male,elementary education, KDU-CSL,6989.73
50,29722,female,secondary education with maturity diploma,,2176.31
48,,female,university education, ODS,
64,27135,female,university education, Pirati,363.23
71,94945,male,secondary education without maturity diploma,,4306.14
75,27135,male,secondary education without maturity diploma,Hnuti Ano,1778.94
35,29401,male,secondary education with maturity diploma, KSCM,6429
28,32508,female,secondary education with maturity diploma,,752.57
40,,male,secondary education without maturity diploma,,
84,67165,female,secondary education with maturity diploma, TOP09,4015
7,,female,,,
49,43431,male,secondary education without maturity diploma, ODS,1868.73
20,3815,male,secondary education without maturity diploma,,2323.26
40,59781,female,secondary education without maturity diploma, KDU-CSL,2564.33
19,30658,female,elementary education, TOP09,2016.92
31,22131,female,elementary education, Pirati,1589.13
73,42146,female,secondary education with maturity diploma, Pirati,5968.06
64,67165,male,secondary education without maturity diploma,,2957.18
47,32634,female,secondary education with maturity diploma,,1486.15
77,67165,male,secondary education with maturity diploma,Hnuti Ano,7795.21
85,57157,female,secondary education without maturity diploma,,4242.52
70,41287,male,secondary education with maturity diploma, ODS,2712.67
65,32139,female,secondary education with maturity diploma, ODS,1988.27
49,43179,male,secondary education with maturity diploma, ODS,3840.78
63,49671,male,secondary education with maturity diploma,,6989.73
0,,male,,,
27,39198,male,secondary education with maturity diploma, ��,4296.52
22,34358,male,secondary education with maturity diploma,,1091.23
71,32139,male,secondary education without maturity diploma,Hnuti Ano,5794.27
57,36845,female,university education, TOP09,5624.02
19,7785,male,elementary education,Hnuti Ano,2575.57
53,53577,female,secondary education without maturity diploma,,2845.34
71,42146,male,secondary education without maturity diploma, SPD,6989.73
0,,male,,,
55,37289,female,university education, Pirati,752.57
46,39603,female,secondary education with maturity diploma,,1557.85
10,,female,,,
62,67165,male,secondary education without maturity diploma, ��,2379.18
42,57944,male,secondary education without maturity diploma,,2396.27
9,,female,,,
79,37142,female,secondary education without maturity diploma, SPD,1988.27
46,52154,female,secondary education without maturity diploma,Hnuti Ano,8931.79
74,72168,male,elementary education,Hnuti Ano,9847.64
74,34742,male,university education,,2750.7
67,63818,male,secondary education without maturity diploma, TOP09,2379.18
49,32186,male,secondary education without maturity diploma,,4296.52
5,,male,,,
4,,male,,,
77,37142,female,secondary education with maturity diploma,,1486.15
52,35025,female,secondary education without maturity diploma,Hnuti Ano,1557.85
50,28425,female,secondary education without maturity diploma, TOP09,2740.38
42,64069,male,secondary education with maturity diploma, ODS,6476.48
34,40516,female,secondary education with maturity diploma, ODS,2953.95
52,46972,female,university education, TOP09,602.76
38,60805,male,secondary education with maturity diploma,Hnuti Ano,7795.21
50,30528,male,elementary education,,2750.7
17,7997,male,secondary education without maturity diploma,,
39,45158,male,university education, ODS,4656.32
5,,female,,,
53,64775,male,secondary education without maturity diploma, KDU-CSL,7389.96
45,26198,female,secondary education without maturity diploma,,2521.18
62,37142,female,university education,,1486.15
20,26127,female,secondary education with maturity diploma,,3064.3
